"Country.Region","confirmed","deaths"
"Afghanistan",41032,1523
"Albania",19729,487
"Algeria",56706,1931
"Andorra",4410,72
"Angola",9871,271
"Antigua and Barbuda",124,3
"Argentina",1116609,29730
"Armenia",80410,1222
"Australia",27553,907
"Austria",86102,1005
"Azerbaijan",51149,688
"Bahamas",6502,136
"Bahrain",80765,316
"Bangladesh",401586,5838
"Barbados",233,7
"Belarus",94609,965
"Belgium",333718,10899
"Belize",3200,51
"Benin",2557,41
"Bhutan",345,0
"Bolivia",141124,8672
"Bosnia and Herzegovina",43151,1125
"Botswana",6283,21
"Brazil",5439641,157946
"Brunei",148,3
"Bulgaria",42701,1161
"Burkina Faso",2466,67
"Burma",47666,1147
"Burundi",558,1
"Cabo Verde",8472,94
"Cambodia",290,0
"Cameroon",21793,426
"Canada",225703,10052
"Central African Republic",4863,62
"Chad",1460,96
"Chile",504525,14026
"China",91222,4739
"Colombia",1033218,30565
"Comoros",517,7
"Congo (Brazzaville)",5253,92
"Congo (Kinshasa)",11191,305
"Costa Rica",105322,1329
"Cote d'Ivoire",20488,122
"Croatia",38621,470
"Cuba",6678,128
"Cyprus",3817,25
"Czechia",284033,2547
"Denmark",42668,709
"Diamond Princess",712,13
"Djibouti",5544,61
"Dominica",38,0
"Dominican Republic",125008,2226
"Ecuador",163192,12588
"Egypt",106877,6222
"El Salvador",32925,957
"Equatorial Guinea",5083,83
"Eritrea",461,0
"Estonia",4465,73
"Eswatini",5875,116
"Ethiopia",94218,1445
"Fiji",33,2
"Finland",15163,354
"France",1244242,35582
"Gabon",8937,54
"Gambia",3666,119
"Georgia",32127,238
"Germany",463419,10121
"Ghana",47775,316
"Greece",32752,593
"Grenada",28,0
"Guatemala",105571,3665
"Guinea",11819,71
"Guinea-Bissau",2403,41
"Guyana",4061,119
"Haiti",9040,232
"Holy See",27,0
"Honduras",94623,2639
"Hungary",63642,1535
"Iceland",4574,11
"India",7990322,120010
"Indonesia",396454,13512
"Iran",581824,33299
"Iraq",459908,10724
"Ireland",58767,1890
"Israel",311724,2483
"Italy",564778,37700
"Jamaica",8787,196
"Japan",98146,1726
"Jordan",58855,668
"Kazakhstan",110832,1825
"Kenya",50833,934
"Korea, South",26146,461
"Kosovo",17943,663
"Kuwait",123092,756
"Kyrgyzstan",56738,1136
"Laos",24,0
"Latvia",4893,63
"Lebanon",73995,590
"Lesotho",1947,43
"Liberia",1419,82
"Libya",57975,812
"Liechtenstein",428,1
"Lithuania",11362,141
"Luxembourg",14884,147
"Madagascar",16968,244
"Malawi",5897,183
"Malaysia",28640,238
"Maldives",11567,37
"Mali",3515,136
"Malta",5685,55
"Mauritania",7680,163
"Mauritius",439,10
"Mexico",901268,89814
"Moldova",72460,1710
"Monaco",320,2
"Mongolia",340,0
"Montenegro",17091,275
"Morocco",203733,3445
"Mozambique",12273,89
"MS Zaandam",9,2
"Namibia",12729,133
"Nepal",160400,876
"Netherlands",318152,7204
"New Zealand",1943,25
"Nicaragua",5514,156
"Niger",1218,69
"Nigeria",62224,1135
"North Macedonia",27827,949
"Norway",18666,280
"Oman",113820,1203
"Pakistan",330200,6759
"Panama",130422,2650
"Papua New Guinea",588,7
"Paraguay",60557,1347
"Peru",890574,34197
"Philippines",373144,7053
"Poland",280229,4615
"Portugal",124432,2371
"Qatar",131689,230
"Romania",217216,6574
"Russia",1537142,26409
"Rwanda",5084,35
"Saint Kitts and Nevis",19,0
"Saint Lucia",65,0
"Saint Vincent and the Grenadines",74,0
"San Marino",852,42
"Sao Tome and Principe",941,15
"Saudi Arabia",345631,5329
"Senegal",15571,322
"Serbia",40880,798
"Seychelles",153,0
"Sierra Leone",2350,74
"Singapore",57980,28
"Slovakia",46056,176
"Slovenia",25603,264
"Solomon Islands",8,0
"Somalia",3941,104
"South Africa",717851,19053
"South Sudan",2890,56
"Spain",1116738,35298
"Sri Lanka",8870,19
"Sudan",13747,837
"Suriname",5187,111
"Sweden",115785,5918
"Switzerland",127042,2147
"Syria",5528,275
"Taiwan*",550,7
"Tajikistan",10860,81
"Tanzania",509,21
"Thailand",3759,59
"Timor-Leste",30,0
"Togo",2229,54
"Trinidad and Tobago",5568,106
"Tunisia",52399,983
"Turkey",366208,9950
"Uganda",11621,103
"Ukraine",366233,6770
"United Arab Emirates",127624,482
"United Kingdom",920664,45455
"Uruguay",2916,54
"US",8777432,226691
"Uzbekistan",65881,556
"Venezuela",90400,780
"Vietnam",1172,35
"West Bank and Gaza",51528,458
"Western Sahara",10,1
"Yemen",2060,599
"Zambia",16243,348
"Zimbabwe",8315,242
